,avg_qscore,avg_qscore_0.025,avg_qscore_0.25,avg_qscore_0.5,avg_qscore_0.75,avg_qscore_0.975,coverage_50,coverage_95,mae_q0.5
"ensemble | bench_pm_1month, grad_boost_2015_dummy",1.972436841268781,0.42419254013852914,3.0085048953516353,3.5250365892528612,2.5428739819556148,0.3615761996452641,0.35714285714285715,0.9285714285714286,3525.036589252861
"ensemble | bench_pm_2weeks, grad_boost_2018_dummy",1.8938740922211632,0.5366691042370328,2.6803069628066365,3.4124334242761143,2.4844771454519856,0.35548382433404857,0.3095238095238096,0.9047619047619048,3412.433424276114
"ensemble | bench_pm_2weeks, grad_boost_2018_fturs",1.9137199755228251,0.6073347271014166,2.6079888866693417,3.4954021907707693,2.5027946603297684,0.35507941274282817,0.2976190476190477,0.869047619047619,3495.4021907707693
"ensemble | bench_pm_2weeks, lightgbm_dummy_2019",1.6925042378577912,0.8890580809241119,2.276453569631102,2.8947842999765663,2.022048852075296,0.3801763866818798,0.38095238095238093,0.7142857142857143,2894.7842999765658
"ensemble | bench_pm_2weeks, lightgbm_dummy_2020",1.655473578109149,0.8560648407927888,2.2324447095743674,2.8180389021495,1.983416036002507,0.38740340202658113,0.36904761904761907,0.7261904761904763,2818.0389021495
"ensemble | bench_pm_2weeks, lightgbm_dummy_2021",1.6442189716677047,0.8108499323991515,2.2273623353070455,2.8022561302647744,1.976145033037176,0.40448142733037545,0.36904761904761907,0.7261904761904763,2802.2561302647746
"ensemble | bench_pm_2weeks, mstl_0.5",1.4458117915599407,0.36418470928583435,1.9527544729979092,2.4847419257695402,2.04224449042258,0.3851333593238409,0.5714285714285714,0.9642857142857144,2484.7419257695396
"ensemble | bench_pm_2weeks, mstl_1",1.4904357893718427,0.4177728018641101,1.9151122602334516,2.4882498601059195,2.2086901641544894,0.42235386050124196,0.6309523809523808,0.9761904761904763,2488.2498601059187
"ensemble | bench_pm_2weeks, quant_reg_2015_sk",2.037831246899802,0.4615657273065477,2.8182626488095237,3.6817869543650823,2.7905608258928574,0.43698007812500045,0.29761904761904756,0.9166666666666667,3681.786954365082
"ensemble | bench_pm_2weeks, quant_reg_2015_sm",2.1517829085456635,0.4525485078516178,2.773032640258912,3.730767684238871,2.8379139624545244,0.9646517479243937,0.2738095238095238,0.9166666666666667,3730.767684238872
"ensemble | bench_pm_2weeks, quant_reg_2018_sk",1.9244204404348542,0.43277593729331976,2.5470096726190476,3.5099501488095233,2.702552269345238,0.4298141741071433,0.35714285714285715,0.9285714285714287,3509.950148809524
"ensemble | bench_pm_2weeks, quant_reg_2018_sm",2.0487999937403223,0.41741667884961103,2.5330524532472083,3.570446296341189,2.773625306493409,0.9494592337701955,0.2857142857142857,0.9285714285714287,3570.4462963411893
"ensemble | bench_pm_2weeks, xgboost_dummy_2019",1.6176651839192708,0.4325309942336309,1.9354543340773807,2.9526890578497027,2.408887509300595,0.358764024135045,0.48809523809523814,0.9523809523809524,2952.6890578497027
"ensemble | bench_pm_2weeks, xgboost_dummy_2020",1.575132302594866,0.4357054152715774,1.8388126627604169,2.867463169642857,2.370843854631697,0.3628364106677831,0.5238095238095238,0.9523809523809524,2867.4631696428564
"ensemble | bench_pm_2weeks, xgboost_dummy_2021",1.575179203869048,0.4087489443824404,1.7901810128348212,2.8501814778645835,2.456277239118304,0.37050734514508965,0.4761904761904763,0.9523809523809524,2850.181477864583
"ensemble | bench_same_month, bench_pm_1month",2.1437574992559525,0.588770314360119,3.2286927083333334,3.8210937499999997,2.691444754464286,0.388785969122024,0.369047619047619,0.9285714285714287,3821.09375
"ensemble | bench_same_month, grad_boost_2015_dummy",2.104476986449047,0.6139883983268639,3.182278995812759,3.7230092296446125,2.643519257253234,0.35958905120776413,0.2738095238095238,0.9047619047619048,3723.0092296446132
"ensemble | bench_same_month, grad_boost_2015_fturs",2.1272091615641204,0.6026023547157121,3.212951130404889,3.809127542691351,2.6522795719183376,0.3590852080903147,0.29761904761904756,0.8809523809523812,3809.127542691352
"ensemble | bench_same_month, grad_boost_2018_dummy",1.9697455352601276,0.6213109271005681,2.9364703631427744,3.4200079789412308,2.517498345802852,0.3534400613132152,0.38095238095238093,0.9047619047619045,3420.00797894123
"ensemble | bench_same_month, grad_boost_2018_fturs",1.9681258196724334,0.6038150495067603,2.8921130792171037,3.4567711108934263,2.534894209022881,0.35303564972199475,0.36904761904761896,0.8928571428571429,3456.771110893426
"ensemble | bench_same_month, lightgbm_dummy_2019",1.814695897526964,0.9219666774705305,2.6982979785466052,3.0126446788458607,2.0585345668576998,0.3820355859141254,0.39285714285714285,0.7261904761904763,3012.64467884586
