Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.11.2023;15:30;15:45;13.016,25;6.649,25;58,25
01.11.2023;15:45;16:00;12.904;6.596,75;65,75
01.11.2023;16:00;16:15;12.922;6.610,5;62
01.11.2023;16:15;16:30;13.037,5;6.622,75;30,75
01.11.2023;16:30;16:45;13.144,25;6.553,25;14,5
01.11.2023;16:45;17:00;13.299;6.435,25;14
01.11.2023;17:00;17:15;13.689;6.614;36,5
01.11.2023;17:15;17:30;14.044;6.721;18
01.11.2023;17:30;17:45;14.211;6.633,75;21,5
01.11.2023;17:45;18:00;14.290;6.444,5;91
01.11.2023;18:00;18:15;14.198,5;6.098,75;80,5
01.11.2023;18:15;18:30;14.157,25;5.853,25;52,25
01.11.2023;18:30;18:45;14.124,25;5.615,25;125
01.11.2023;18:45;19:00;14.170;5.507,5;130
01.11.2023;19:00;19:15;14.115,25;5.353;22,25
01.11.2023;19:15;19:30;14.043,5;5.232,5;13,5
01.11.2023;19:30;19:45;13.889,25;5.029,5;68,75
01.11.2023;19:45;20:00;13.719,5;4.815,5;161,25
01.11.2023;20:00;20:15;13.586,75;4.696,5;181,75
01.11.2023;20:15;20:30;13.455;4.583,75;295,5
01.11.2023;20:30;20:45;13.323,5;4.497,25;564,25
01.11.2023;20:45;21:00;13.236,5;4.482,25;831,5
01.11.2023;21:00;21:15;13.007,25;4.301;233,5
01.11.2023;21:15;21:30;12.829;4.081,75;398
01.11.2023;21:30;21:45;12.700,75;3.965,5;635,25
01.11.2023;21:45;22:00;12.537,5;3.888,25;822
01.11.2023;22:00;22:15;12.541,75;4.004;545,25
01.11.2023;22:15;22:30;12.399,5;3.817,75;615
01.11.2023;22:30;22:45;12.213,5;3.662,5;859,75
01.11.2023;22:45;23:00;12.046,25;3.602,75;1.061
01.11.2023;23:00;23:15;11.814,5;3.470,5;704,25
01.11.2023;23:15;23:30;11.607,5;3.352,75;862
01.11.2023;23:30;23:45;11.435;3.240;1.050,75
01.11.2023;23:45;00:00;11.384,5;3.255,75;1.119
02.11.2023;00:00;00:15;11.087,5;3.255,25;1.123,5
02.11.2023;00:15;00:30;10.865;3.097;1.253
02.11.2023;00:30;00:45;10.743,75;3.144,5;1.261,75
02.11.2023;00:45;01:00;10.647,5;3.187,5;1.239
02.11.2023;01:00;01:15;10.470,25;3.051,5;1.224
02.11.2023;01:15;01:30;10.422,25;3.087,5;1.266,75
02.11.2023;01:30;01:45;10.388,5;3.117,75;1.264,75
02.11.2023;01:45;02:00;10.294,25;3.105,75;1.260,25
02.11.2023;02:00;02:15;10.185,5;2.986,25;1.263,5
02.11.2023;02:15;02:30;10.254,75;3.016,5;1.282,5
02.11.2023;02:30;02:45;10.287,5;3.046;1.302,75
02.11.2023;02:45;03:00;10.305,25;3.085,75;1.289
02.11.2023;03:00;03:15;10.238,25;2.978;1.281,25
02.11.2023;03:15;03:30;10.173,75;2.865,25;1.374,5
02.11.2023;03:30;03:45;10.248;2.958,25;1.325
02.11.2023;03:45;04:00;10.157;2.864,5;1.349
02.11.2023;04:00;04:15;10.264,25;2.843,75;1.315,25
02.11.2023;04:15;04:30;10.461,75;2.870,25;1.331,75
02.11.2023;04:30;04:45;10.613,25;2.841,5;1.208
02.11.2023;04:45;05:00;10.847,5;2.892,75;1.205
02.11.2023;05:00;05:15;11.307,25;3.210,5;1.104,75
02.11.2023;05:15;05:30;11.511,25;3.219,5;1.104,5
02.11.2023;05:30;05:45;11.829,75;3.353;1.042,75
02.11.2023;05:45;06:00;12.345,5;3.586,25;919,25
02.11.2023;06:00;06:15;13.179;4.083;768,25
02.11.2023;06:15;06:30;13.680;4.323,25;456
02.11.2023;06:30;06:45;14.118;4.409,5;370,5
02.11.2023;06:45;07:00;14.552,5;4.689;301,5
02.11.2023;07:00;07:15;14.957,25;4.786,25;427,25
02.11.2023;07:15;07:30;15.199,5;4.785;231,5
02.11.2023;07:30;07:45;15.546;4.840;215,25
02.11.2023;07:45;08:00;15.926,25;5.082,75;203,5
02.11.2023;08:00;08:15;16.113;5.240,25;14,75
02.11.2023;08:15;08:30;16.174,75;5.219,5;2,25
02.11.2023;08:30;08:45;16.299;5.268;39
02.11.2023;08:45;09:00;16.245,75;5.137;18,5
02.11.2023;09:00;09:15;16.321,25;5.371;2,25
02.11.2023;09:15;09:30;16.468;5.429,25;3,25
02.11.2023;09:30;09:45;16.582,75;5.366,25;2,75
02.11.2023;09:45;10:00;16.683;5.366,75;3,25
02.11.2023;10:00;10:15;16.556,5;5.173;4
02.11.2023;10:15;10:30;16.550,25;5.044;117,5
02.11.2023;10:30;10:45;16.556,25;4.964;86
02.11.2023;10:45;11:00;16.769,25;5.154,25;127,25
02.11.2023;11:00;11:15;16.842,75;5.254,25;233,5
02.11.2023;11:15;11:30;16.934;5.286,25;286
02.11.2023;11:30;11:45;17.008,5;5.326;228,75
02.11.2023;11:45;12:00;16.979,25;5.172,5;240,75
02.11.2023;12:00;12:15;17.046;5.132;329,25
02.11.2023;12:15;12:30;16.980,25;5.095,75;427,25
02.11.2023;12:30;12:45;16.855,25;5.126,5;368
02.11.2023;12:45;13:00;16.716,25;5.141,75;384
02.11.2023;13:00;13:15;16.659,5;5.142;590,75
02.11.2023;13:15;13:30;16.672,5;5.265;512,5
02.11.2023;13:30;13:45;16.567,25;5.252,75;448,75
02.11.2023;13:45;14:00;16.418;5.100,75;492,25
02.11.2023;14:00;14:15;16.409;5.092,75;601,5
02.11.2023;14:15;14:30;16.333,5;5.136,75;313,5
02.11.2023;14:30;14:45;16.154,75;5.121;287,25
02.11.2023;14:45;15:00;16.010,75;5.210,75;215,75
02.11.2023;15:00;15:15;16.064;5.435,25;442,75
02.11.2023;15:15;15:30;15.919,5;5.432,25;293,5
02.11.2023;15:30;15:45;15.793;5.387;193,5
02.11.2023;15:45;16:00;15.741,5;5.488,5;70
02.11.2023;16:00;16:15;15.807,25;5.676;296
02.11.2023;16:15;16:30;15.797,25;5.629;126
02.11.2023;16:30;16:45;15.778,25;5.515,5;186,75
02.11.2023;16:45;17:00;15.991,5;5.786,75;110,5
02.11.2023;17:00;17:15;16.112;5.956,5;171,25
02.11.2023;17:15;17:30;16.313,5;6.158,75;98,5
02.11.2023;17:30;17:45;16.404,5;6.251,75;94,5
02.11.2023;17:45;18:00;16.380,75;6.225,75;119,25
02.11.2023;18:00;18:15;16.493;6.270,25;76,5
02.11.2023;18:15;18:30;16.327,25;6.167,75;36,5
02.11.2023;18:30;18:45;16.304,5;6.333,5;21
02.11.2023;18:45;19:00;16.130,75;6.359,25;2,25
02.11.2023;19:00;19:15;15.900;6.229,5;2,25
02.11.2023;19:15;19:30;15.726,25;6.083,25;19
02.11.2023;19:30;19:45;15.670,25;6.140,25;23,25
02.11.2023;19:45;20:00;15.538,25;6.185,5;39,5
02.11.2023;20:00;20:15;15.281;6.165;31
02.11.2023;20:15;20:30;15.063,25;6.111,25;29,75
02.11.2023;20:30;20:45;14.810;5.931;105,5
02.11.2023;20:45;21:00;14.496,75;5.752;199,25
02.11.2023;21:00;21:15;14.350,25;5.643,75;202
02.11.2023;21:15;21:30;14.218,25;5.625,75;197
02.11.2023;21:30;21:45;13.975;5.492,75;210,5
02.11.2023;21:45;22:00;13.679,5;5.354,5;399,75
02.11.2023;22:00;22:15;13.398,75;5.307;111,75
02.11.2023;22:15;22:30;13.232,25;5.130,5;189,5
02.11.2023;22:30;22:45;12.879;4.876,75;321,5
02.11.2023;22:45;23:00;12.696,5;4.811,75;491
02.11.2023;23:00;23:15;12.514,25;4.660,5;697
02.11.2023;23:15;23:30;12.271,75;4.546,75;962,25
02.11.2023;23:30;23:45;12.079,5;4.422,5;1.091,5
02.11.2023;23:45;00:00;11.902;4.326,25;1.252
03.11.2023;00:00;00:15;11.693,25;3.752,25;932
03.11.2023;00:15;00:30;11.600;3.558,25;967,75
03.11.2023;00:30;00:45;11.439,5;3.531,5;1.181,5
03.11.2023;00:45;01:00;11.314;3.636;1.206
03.11.2023;01:00;01:15;11.082;3.429,5;1.137,25
03.11.2023;01:15;01:30;11.005,75;3.540,25;1.139,75
03.11.2023;01:30;01:45;10.903,25;3.447,75;1.238,5
03.11.2023;01:45;02:00;10.824,25;3.323,75;1.281,25
03.11.2023;02:00;02:15;10.730,75;3.356;1.281
03.11.2023;02:15;02:30;10.733,25;3.454,25;1.285
03.11.2023;02:30;02:45;10.800,25;3.603,75;1.262
03.11.2023;02:45;03:00;10.767,25;3.614,75;1.274,5
03.11.2023;03:00;03:15;10.706,75;3.664,25;1.255,75
03.11.2023;03:15;03:30;10.784;3.689,5;1.262,25
03.11.2023;03:30;03:45;10.888,75;3.709,5;1.269,25
03.11.2023;03:45;04:00;11.063,75;3.855;1.234,25
03.11.2023;04:00;04:15;11.176,25;3.903,25;1.205,75
03.11.2023;04:15;04:30;11.199;3.896;1.230,75
03.11.2023;04:30;04:45;11.320,5;3.899;1.181,25
03.11.2023;04:45;05:00;11.507,5;4.069;967,25
03.11.2023;05:00;05:15;11.906;4.494,5;1.006,75
03.11.2023;05:15;05:30;12.224,5;4.829;927
03.11.2023;05:30;05:45;12.507,25;5.263,75;470,25
03.11.2023;05:45;06:00;12.835,25;5.526,5;226,25
03.11.2023;06:00;06:15;13.473;6.002,75;446,5
03.11.2023;06:15;06:30;13.754;6.286,5;195,5
03.11.2023;06:30;06:45;14.063;6.617;87,5
03.11.2023;06:45;07:00;14.504,5;7.129,25;62,25
03.11.2023;07:00;07:15;14.982,25;7.389,75;66,5
03.11.2023;07:15;07:30;15.236,25;7.676,25;12,5
03.11.2023;07:30;07:45;15.390;7.849,25;10,25
03.11.2023;07:45;08:00;15.553,5;7.985;4,5
03.11.2023;08:00;08:15;15.889;8.193;2,25
03.11.2023;08:15;08:30;16.037,25;8.293,5;1,25
03.11.2023;08:30;08:45;16.125;8.268;2
03.11.2023;08:45;09:00;16.080;8.076,75;2,5
03.11.2023;09:00;09:15;16.056,75;7.842,25;2
03.11.2023;09:15;09:30;16.101,25;7.765,5;1,75
03.11.2023;09:30;09:45;16.226,5;7.838;1,5
03.11.2023;09:45;10:00;16.189,5;7.698;31,25
03.11.2023;10:00;10:15;16.079,5;7.373,5;0,75
03.11.2023;10:15;10:30;16.130,25;7.285,75;1,75
03.11.2023;10:30;10:45;16.160;7.196,25;1,25
03.11.2023;10:45;11:00;16.221,75;7.163,75;1,25
03.11.2023;11:00;11:15;16.266,5;7.068,25;2,25
03.11.2023;11:15;11:30;16.317,5;6.985,75;2,5
03.11.2023;11:30;11:45;16.265,5;6.892,75;12,25
03.11.2023;11:45;12:00;16.297;6.957;63
03.11.2023;12:00;12:15;16.226,75;6.997,25;5,75
03.11.2023;12:15;12:30;16.161,25;6.963,5;3
03.11.2023;12:30;12:45;16.085,5;7.006,5;3
03.11.2023;12:45;13:00;15.926,75;7.018,5;3
03.11.2023;13:00;13:15;15.873,75;7.040,5;2,25
03.11.2023;13:15;13:30;15.650,75;7.029,75;2,75
03.11.2023;13:30;13:45;15.546,25;7.093;35,75
03.11.2023;13:45;14:00;15.360,25;7.120,5;64,5
03.11.2023;14:00;14:15;15.207;7.199,75;148,75
03.11.2023;14:15;14:30;15.323,25;7.574;47,75
03.11.2023;14:30;14:45;15.035;7.590,5;2
03.11.2023;14:45;15:00;14.994,5;7.895,75;1,75
03.11.2023;15:00;15:15;15.010,5;8.224,25;2,75
03.11.2023;15:15;15:30;14.946;8.434,5;2,25
03.11.2023;15:30;15:45;14.860,25;8.704,5;1,75
03.11.2023;15:45;16:00;14.855,75;9.040;1,75
03.11.2023;16:00;16:15;14.965;9.373,25;3
03.11.2023;16:15;16:30;14.997,25;9.458,75;1,75
03.11.2023;16:30;16:45;15.005;9.450;1,75
03.11.2023;16:45;17:00;15.177,5;9.590;1,75
03.11.2023;17:00;17:15;15.380,75;9.627,5;1,75
03.11.2023;17:15;17:30;15.550,25;9.661,75;1,5
03.11.2023;17:30;17:45;15.629,75;9.656,25;1,25
03.11.2023;17:45;18:00;15.613,5;9.580;1,25
03.11.2023;18:00;18:15;15.577,25;9.441,75;1,25
03.11.2023;18:15;18:30;15.507,25;9.234;1,25
03.11.2023;18:30;18:45;15.444,25;9.035,75;1,25
03.11.2023;18:45;19:00;15.357,5;8.857,25;1
03.11.2023;19:00;19:15;15.225,25;8.629;1,25
03.11.2023;19:15;19:30;15.097;8.457;2,5
03.11.2023;19:30;19:45;14.893;8.135,75;2,5
03.11.2023;19:45;20:00;14.787,75;7.935;2,75
03.11.2023;20:00;20:15;14.519,25;7.499,75;35,25
03.11.2023;20:15;20:30;14.300,25;7.107;215,25
03.11.2023;20:30;20:45;14.157,5;6.911,25;234,25
03.11.2023;20:45;21:00;13.986,5;6.641,5;280
03.11.2023;21:00;21:15;13.793,25;6.365,75;93,75
03.11.2023;21:15;21:30;13.646,25;6.157,5;83,5
03.11.2023;21:30;21:45;13.348,75;5.885,25;89,5
03.11.2023;21:45;22:00;13.103,5;5.760;319,75
03.11.2023;22:00;22:15;12.974,25;5.833,25;13
03.11.2023;22:15;22:30;12.753;5.708,25;7,5
03.11.2023;22:30;22:45;12.427;5.394,75;4,75
03.11.2023;22:45;23:00;12.099,75;5.053,75;16
03.11.2023;23:00;23:15;11.982,5;4.929,75;32,5
03.11.2023;23:15;23:30;11.909,75;4.888;84,25
03.11.2023;23:30;23:45;11.733;4.680,75;101,75
03.11.2023;23:45;00:00;11.403,25;4.294,25;239,25
04.11.2023;00:00;00:15;11.293;4.159;125
04.11.2023;00:15;00:30;11.143,75;3.954,25;137
04.11.2023;00:30;00:45;11.073,75;3.846;241,5
04.11.2023;00:45;01:00;11.015,25;3.744,75;399,25
04.11.2023;01:00;01:15;10.836,5;3.583;248,75
04.11.2023;01:15;01:30;10.692,25;3.384,75;345,5
04.11.2023;01:30;01:45;10.644;3.360,75;421,25
04.11.2023;01:45;02:00;10.569,25;3.233,25;496,25
04.11.2023;02:00;02:15;10.516,25;3.144;646,5
04.11.2023;02:15;02:30;10.490;3.072,75;758,25
04.11.2023;02:30;02:45;10.401,25;2.966,75;844,75
04.11.2023;02:45;03:00;10.388,25;2.905;834
04.11.2023;03:00;03:15;10.340;2.836,25;775
04.11.2023;03:15;03:30;10.358,5;2.860;832,5
04.11.2023;03:30;03:45;10.374,25;2.898,5;828
04.11.2023;03:45;04:00;10.338,25;2.895,25;921,5
04.11.2023;04:00;04:15;10.401;2.959;1.202,75
04.11.2023;04:15;04:30;10.307,75;2.867,5;1.235,25
04.11.2023;04:30;04:45;10.352;2.901,25;1.216,5
04.11.2023;04:45;05:00;10.419,75;2.882;1.249,5
04.11.2023;05:00;05:15;10.434,25;2.831,25;1.281,5
04.11.2023;05:15;05:30;10.457;2.842;1.321,25
04.11.2023;05:30;05:45;10.589,5;3.027,5;1.142,25
04.11.2023;05:45;06:00;10.642,5;3.103,5;1.115,75
04.11.2023;06:00;06:15;10.730,75;3.111,5;988,25
04.11.2023;06:15;06:30;10.854,75;3.201,75;727,25
04.11.2023;06:30;06:45;10.969,25;3.330,75;535,75
04.11.2023;06:45;07:00;11.086,75;3.521,5;434
04.11.2023;07:00;07:15;11.277;3.710,75;146,25
04.11.2023;07:15;07:30;11.324,75;3.705,75;114,75
04.11.2023;07:30;07:45;11.525,25;3.648,5;110,25
04.11.2023;07:45;08:00;11.790,5;3.701;115,75
04.11.2023;08:00;08:15;12.029,25;3.754,25;185,5
04.11.2023;08:15;08:30;12.293;3.745,75;183,5
04.11.2023;08:30;08:45;12.438,75;3.532,5;235,5
04.11.2023;08:45;09:00;12.628;3.400,5;412,5
04.11.2023;09:00;09:15;12.762,25;3.173,25;507,5
04.11.2023;09:15;09:30;12.944;2.988,5;755,25
04.11.2023;09:30;09:45;13.232;3.038;781,25
04.11.2023;09:45;10:00;13.328,75;2.839,25;1.060
04.11.2023;10:00;10:15;13.335;2.451,5;967
04.11.2023;10:15;10:30;13.507,25;2.380,25;995,25
04.11.2023;10:30;10:45;13.389,25;2.080;1.167,75
04.11.2023;10:45;11:00;13.633,75;2.212,75;1.169
04.11.2023;11:00;11:15;13.828,25;2.232,25;1.007
04.11.2023;11:15;11:30;13.837,25;2.178,5;999
04.11.2023;11:30;11:45;14.008,75;2.280,5;966,25
04.11.2023;11:45;12:00;13.934,75;2.288,75;912
04.11.2023;12:00;12:15;13.839,75;2.379,25;565,5
04.11.2023;12:15;12:30;13.743;2.477,5;526
04.11.2023;12:30;12:45;13.585;2.597,75;400
04.11.2023;12:45;13:00;13.429,75;2.706;334,75
04.11.2023;13:00;13:15;13.214,5;2.746;439
04.11.2023;13:15;13:30;12.945;2.723,75;441,75
04.11.2023;13:30;13:45;13.004;3.067,5;234,5
04.11.2023;13:45;14:00;12.966,25;3.289,75;160,75
04.11.2023;14:00;14:15;12.994;3.592;231
04.11.2023;14:15;14:30;12.838,25;3.666,75;155,5
04.11.2023;14:30;14:45;12.867,75;3.810,25;131,25
04.11.2023;14:45;15:00;12.876,75;3.893,5;123,75
04.11.2023;15:00;15:15;13.029,5;4.168,25;239,75
04.11.2023;15:15;15:30;13.008,25;4.273;199,25
04.11.2023;15:30;15:45;13.053,5;4.352;194
04.11.2023;15:45;16:00;13.178,5;4.450,75;104,5
04.11.2023;16:00;16:15;13.075;4.265;111,75
04.11.2023;16:15;16:30;13.109,5;4.189,75;114,25
04.11.2023;16:30;16:45;13.304,25;4.261,25;112
04.11.2023;16:45;17:00;13.565,75;4.334,5;85,5
04.11.2023;17:00;17:15;13.960,25;4.502,25;7
04.11.2023;17:15;17:30;14.215,25;4.533;2,25
04.11.2023;17:30;17:45;14.451,5;4.552,25;2,5
04.11.2023;17:45;18:00;14.541;4.377,5;2,5
04.11.2023;18:00;18:15;14.491,25;4.125;44,25
04.11.2023;18:15;18:30;14.354,75;3.797;112,75
04.11.2023;18:30;18:45;14.222,25;3.562,5;134,75
04.11.2023;18:45;19:00;14.042;3.341,75;193,75
04.11.2023;19:00;19:15;13.981,75;3.258,75;75,25
04.11.2023;19:15;19:30;13.772,25;3.041;108
04.11.2023;19:30;19:45;13.555,25;2.801;150,5
04.11.2023;19:45;20:00;13.455;2.694,5;223,75
04.11.2023;20:00;20:15;13.210,5;2.485,75;122
04.11.2023;20:15;20:30;12.947;2.207;209
04.11.2023;20:30;20:45;12.755,75;2.059,75;269,5
04.11.2023;20:45;21:00;12.624;1.964,75;417,75
04.11.2023;21:00;21:15;12.577;2.011;376,75
04.11.2023;21:15;21:30;12.448,25;1.998;454,25
04.11.2023;21:30;21:45;12.217,75;1.923,5;616,75
04.11.2023;21:45;22:00;11.974,25;1.875,25;683
04.11.2023;22:00;22:15;11.917,5;2.080;611,5
04.11.2023;22:15;22:30;11.766,5;2.060,5;622,5
04.11.2023;22:30;22:45;11.629,25;2.028;615
04.11.2023;22:45;23:00;11.526;2.091,75;676,75
04.11.2023;23:00;23:15;11.174,25;1.866,75;714,75
04.11.2023;23:15;23:30;10.965,25;1.842,75;803
04.11.2023;23:30;23:45;10.861,25;1.918,5;901,75
04.11.2023;23:45;00:00;10.730,25;1.942;979,5
05.11.2023;00:00;00:15;10.583,25;2.000,75;1.332,25
05.11.2023;00:15;00:30;10.507;2.052,25;1.341,5
05.11.2023;00:30;00:45;10.303,5;1.964,5;1.375,75
05.11.2023;00:45;01:00;10.166,25;1.936,25;1.385
05.11.2023;01:00;01:15;9.943,25;1.789,75;1.391
05.11.2023;01:15;01:30;9.846;1.760,25;1.488,25
05.11.2023;01:30;01:45;9.729,5;1.774,25;1.500,75
05.11.2023;01:45;02:00;9.599,25;1.733,5;1.580,25
05.11.2023;02:00;02:15;9.519,75;1.885;1.492,5
05.11.2023;02:15;02:30;9.446,25;1.932;1.492,75
05.11.2023;02:30;02:45;9.325,25;1.822,5;1.498,5
05.11.2023;02:45;03:00;9.286,75;1.823;1.547,25
05.11.2023;03:00;03:15;9.328,75;1.962;1.425
05.11.2023;03:15;03:30;9.456,75;2.189,25;1.412
05.11.2023;03:30;03:45;9.444,5;2.176,25;1.421,75
05.11.2023;03:45;04:00;9.424;2.166,25;1.417,25
05.11.2023;04:00;04:15;9.459,75;2.369,75;1.414,75
05.11.2023;04:15;04:30;9.497,5;2.477;1.404,5
05.11.2023;04:30;04:45;9.542,25;2.534;1.339
05.11.2023;04:45;05:00;9.590,75;2.590,5;1.322
05.11.2023;05:00;05:15;9.665,5;2.709,75;1.262,5
05.11.2023;05:15;05:30;9.613,5;2.639,25;1.287,25
05.11.2023;05:30;05:45;9.634,75;2.585,75;1.279
05.11.2023;05:45;06:00;9.720,25;2.720,25;1.211,25
05.11.2023;06:00;06:15;9.764,5;2.914,5;1.021,25
05.11.2023;06:15;06:30;9.748;2.952,75;915,25
05.11.2023;06:30;06:45;9.775,5;2.934,75;859
05.11.2023;06:45;07:00;9.903,25;3.132;749,25
05.11.2023;07:00;07:15;9.971,75;3.289,5;714,25
05.11.2023;07:15;07:30;10.042,5;3.397,75;735
05.11.2023;07:30;07:45;10.247,75;3.524;621,75
05.11.2023;07:45;08:00;10.439,75;3.647,75;478,5
05.11.2023;08:00;08:15;10.649;3.775,25;394,25
05.11.2023;08:15;08:30;10.881,75;3.907,75;369
05.11.2023;08:30;08:45;11.252,5;4.176,25;251,75
05.11.2023;08:45;09:00;11.401,25;4.294;220,25
05.11.2023;09:00;09:15;11.502,25;4.351,25;278,25
05.11.2023;09:15;09:30;11.678,75;4.462;241,75
05.11.2023;09:30;09:45;11.819;4.544,5;187,25
05.11.2023;09:45;10:00;11.845,75;4.518,75;199,25
05.11.2023;10:00;10:15;12.019,75;4.617,5;252,5
05.11.2023;10:15;10:30;12.147,5;4.698,75;237,75
05.11.2023;10:30;10:45;12.339;4.839;214,75
05.11.2023;10:45;11:00;12.511,75;4.997,5;216
05.11.2023;11:00;11:15;12.766;5.133,25;228,5
05.11.2023;11:15;11:30;12.879,25;5.106,75;153
05.11.2023;11:30;11:45;13.003,5;5.096,25;129
05.11.2023;11:45;12:00;13.067,5;5.176,5;128,75
05.11.2023;12:00;12:15;13.095,5;5.146,25;124,5
05.11.2023;12:15;12:30;13.081;5.055,5;190,5
05.11.2023;12:30;12:45;13.044,75;5.035,25;330,25
05.11.2023;12:45;13:00;12.964,5;5.004,25;395,75
05.11.2023;13:00;13:15;12.785,5;4.889,25;525,75
05.11.2023;13:15;13:30;12.638,5;4.830,25;577,25
05.11.2023;13:30;13:45;12.558;4.820,75;484,5
05.11.2023;13:45;14:00;12.422;4.790,5;494,25
05.11.2023;14:00;14:15;12.324,25;4.835,5;410,75
05.11.2023;14:15;14:30;12.276,5;4.874,5;332,25
05.11.2023;14:30;14:45;12.276;4.956;183,5
05.11.2023;14:45;15:00;12.194,5;5.009;134,25
05.11.2023;15:00;15:15;12.240;5.221,75;167,25
05.11.2023;15:15;15:30;12.281,75;5.383,25;128,5
05.11.2023;15:30;15:45;12.182;5.334,25;17
05.11.2023;15:45;16:00;12.230;5.479,25;2,75
05.11.2023;16:00;16:15;12.332;5.625;2,75
05.11.2023;16:15;16:30;12.336,75;5.644,25;2,75
05.11.2023;16:30;16:45;12.425,5;5.632,25;2,5
05.11.2023;16:45;17:00;12.601,75;5.653,5;2,25
05.11.2023;17:00;17:15;12.901,25;5.875,25;2
05.11.2023;17:15;17:30;13.134;5.915;1
05.11.2023;17:30;17:45;13.322,75;5.983,75;0,75
05.11.2023;17:45;18:00;13.447,5;5.956,5;0,75
05.11.2023;18:00;18:15;13.547;5.911,75;0,75
05.11.2023;18:15;18:30;13.550,5;5.795,25;0,75
05.11.2023;18:30;18:45;13.377;5.461;0,75
05.11.2023;18:45;19:00;13.226;5.097,75;2,25
05.11.2023;19:00;19:15;13.213,75;4.831;2,5
05.11.2023;19:15;19:30;13.179;4.517,5;6
05.11.2023;19:30;19:45;13.168,5;4.285,25;152
05.11.2023;19:45;20:00;13.056;3.984,75;217
